"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2003","1,062.10","1,068.11","1,069.38","1,061.18","974.21K","-0.56%"
"12/30/2003","1,068.10","1,076.23","1,082.26","1,068.11","31.76M","-0.75%"
"12/29/2003","1,076.20","1,094.15","1,096.24","1,075.64","1.05M","-1.65%"
"12/26/2003","1,094.20","1,083.84","1,123.41","1,083.84","2.48M","0.96%"
"12/24/2003","1,083.80","1,082.20","1,087.38","1,078.36","1.15M","0.50%"
"12/23/2003","1,078.40","1,050.77","1,081.59","1,050.77","3.62M","2.63%"
"12/22/2003","1,050.80","1,052.21","1,053.79","1,040.54","1.62M","-0.13%"
"12/19/2003","1,052.20","1,030.48","1,057.60","1,024.86","4.31M","2.11%"
"12/18/2003","1,030.50","1,040.34","1,046.95","1,028.64","24.59M","-0.94%"
"12/17/2003","1,040.30","1,076.11","1,084.82","1,037.66","5.35M","-3.33%"
"12/16/2003","1,076.10","1,106.01","1,108.40","1,072.71","6.49M","-2.70%"
"12/15/2003","1,106.00","1,125.86","1,127.68","1,103.54","2.79M","-1.77%"
"12/12/2003","1,125.90","1,120.01","1,130.42","1,114.09","2.96M","0.53%"
"12/11/2003","1,120.00","1,150.39","1,150.40","1,119.35","4.89M","-2.64%"
"12/10/2003","1,150.40","1,151.88","1,153.01","1,148.05","4.02M","-0.13%"
"12/09/2003","1,151.90","1,142.93","1,152.04","1,142.93","2.25M","0.79%"
"12/05/2003","1,142.90","1,111.54","1,149.69","1,111.54","4.84M","2.83%"
"12/04/2003","1,111.50","1,138.93","1,139.68","1,101.51","6.39M","-2.41%"
"12/03/2003","1,138.90","1,166.61","1,170.32","1,137.28","3.87M","-2.37%"
"12/02/2003","1,166.60","1,172.52","1,181.40","1,164.03","3.51M","-0.50%"
"12/01/2003","1,172.50","1,206.33","1,207.21","1,168.18","7.56M","-2.80%"
"11/28/2003","1,206.30","1,192.34","1,214.02","1,192.34","4.25M","1.17%"
"11/27/2003","1,192.30","1,184.20","1,207.24","1,184.20","3.43M","0.68%"
"11/25/2003","1,184.20","1,213.04","1,213.04","1,180.39","5.63M","-2.37%"
"11/24/2003","1,213.00","1,241.29","1,241.74","1,219.21","4.58M","-2.28%"
