"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","10,654.16","10,626.56","10,669.06","10,621.53","29.24M","0.26%"
"12/28/2023","10,626.56","10,605.16","10,663.83","10,604.43","","0.20%"
"12/27/2023","10,605.16","10,605.60","10,628.27","10,595.60","","0.00%"
"12/22/2023","10,605.60","10,623.51","10,652.78","10,590.84","128.55M","-0.17%"
"12/21/2023","10,623.51","10,603.56","10,652.88","10,602.77","19.62M","0.19%"
"12/20/2023","10,603.56","10,612.19","10,659.00","10,602.06","323.30M","-0.08%"
"12/19/2023","10,612.19","10,672.69","10,675.30","10,612.19","36.81M","-0.57%"
"12/18/2023","10,672.69","10,742.08","10,751.29","10,671.21","22.49M","-0.65%"
"12/15/2023","10,742.08","10,783.81","10,803.60","10,738.36","53.90M","-0.39%"
"12/14/2023","10,783.81","10,836.82","10,843.97","10,782.70","39.41M","-0.49%"
"12/13/2023","10,836.82","10,874.39","10,888.93","10,779.67","47.17M","-0.35%"
"12/12/2023","10,874.39","10,850.78","10,903.19","10,850.78","32.11M","0.22%"
"12/11/2023","10,850.78","10,793.84","10,866.80","10,793.72","23.18M","0.53%"
"12/08/2023","10,793.84","10,713.24","10,825.31","10,713.24","35.09M","0.75%"
"12/07/2023","10,713.24","10,703.09","10,738.37","10,698.83","14.68M","0.09%"
"12/06/2023","10,703.09","10,700.09","10,734.03","10,695.80","29.38M","0.03%"
"12/05/2023","10,700.09","10,743.59","10,766.93","10,699.86","31.80M","-0.40%"
"12/04/2023","10,743.59","10,720.26","10,798.84","10,720.26","21.90M","0.22%"
"12/01/2023","10,720.26","10,593.90","10,741.55","10,593.90","38.71M","1.06%"
"11/30/2023","10,608.29","10,513.28","10,609.82","10,513.28","57.77M","0.90%"
"11/29/2023","10,513.28","10,452.22","10,547.64","10,452.22","36.35M","0.58%"
"11/28/2023","10,452.22","10,480.02","10,488.17","10,438.08","19.49M","-0.27%"
"11/27/2023","10,480.02","10,526.93","10,543.64","10,465.18","19.82M","-0.45%"
