"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2013","5,912.78","5,899.22","5,917.80","5,889.33","20.44M","0.23%"
"12/30/2013","5,899.20","5,876.37","5,911.42","5,874.75","12.27M","0.38%"
"12/27/2013","5,876.66","5,848.42","5,882.30","5,845.40","14.45M","0.48%"
"12/26/2013","5,848.49","5,845.41","5,861.34","5,845.39","6.15M","0.04%"
"12/24/2013","5,845.93","5,846.82","5,847.51","5,840.17","27.53M","-0.01%"
"12/23/2013","5,846.42","5,856.02","5,867.77","5,842.32","15.00M","-0.19%"
"12/20/2013","5,857.36","5,868.44","5,881.69","5,854.28","26.61M","-0.16%"
"12/19/2013","5,867.00","5,812.18","5,869.15","5,811.76","24.76M","0.95%"
"12/18/2013","5,811.76","5,812.23","5,823.74","5,800.45","21.55M","0.00%"
"12/17/2013","5,811.88","5,795.98","5,811.88","5,792.71","15.53M","0.28%"
"12/13/2013","5,795.66","5,792.40","5,806.30","5,790.55","17.61M","0.04%"
"12/12/2013","5,793.19","5,789.24","5,802.93","5,787.81","15.59M","0.09%"
"12/11/2013","5,787.81","5,774.34","5,789.87","5,764.09","9.93M","0.16%"
"12/10/2013","5,778.52","5,820.69","5,821.50","5,778.52","15.08M","-0.73%"
"12/09/2013","5,821.30","5,811.43","5,828.60","5,804.95","9.10M","0.19%"
"12/06/2013","5,810.24","5,780.55","5,838.73","5,780.55","74.33M","0.51%"
"12/05/2013","5,780.58","5,782.34","5,795.28","5,766.88","116.35M","-0.04%"
"12/04/2013","5,782.92","5,773.22","5,788.52","5,772.34","71.09M","0.17%"
"12/03/2013","5,773.12","5,774.07","5,805.07","5,773.12","156.31M","-0.02%"
"12/02/2013","5,774.10","5,779.66","5,795.39","5,763.47","90.74M","-0.02%"
"11/29/2013","5,775.09","5,751.88","5,775.09","5,751.88","37.76M","0.40%"
"11/28/2013","5,752.20","5,744.29","5,764.34","5,735.08","68.87M","0.13%"
"11/27/2013","5,744.67","5,748.20","5,756.16","5,740.29","110.79M","-0.06%"
"11/26/2013","5,748.01","5,775.96","5,787.98","5,748.01","143.30M","-0.48%"
"11/25/2013","5,775.67","5,793.02","5,806.84","5,775.67","27.36M","-0.29%"
"11/22/2013","5,792.72","5,802.47","5,807.93","5,792.72","36.39M","-0.16%"
"11/21/2013","5,801.85","5,793.71","5,824.94","5,793.53","65.89M","0.14%"
"11/20/2013","5,793.53","5,807.69","5,813.28","5,793.53","27.80M","-0.27%"
"11/19/2013","5,809.15","5,829.56","5,838.06","5,809.15","23.82M","-0.26%"
"11/18/2013","5,824.48","5,811.66","5,825.29","5,796.89","143.65M","0.23%"
"11/15/2013","5,810.97","5,829.29","5,837.30","5,809.50","19.78M","-0.31%"
"11/14/2013","5,829.05","5,816.82","5,832.76","5,816.04","37.11M","0.22%"
"11/13/2013","5,816.04","5,811.65","5,818.21","5,797.62","22.91M","0.06%"
"11/12/2013","5,812.84","5,863.63","5,863.81","5,812.84","36.15M","-0.85%"
"11/11/2013","5,862.82","5,855.99","5,862.82","5,849.10","15.19M","0.13%"
"11/08/2013","5,855.34","5,870.20","5,870.47","5,846.64","47.90M","-0.26%"
